	up_111169	up_106075	up_106711	up_111235	up_106561	up_096374	up_099394	up_111452	up_098748	up_033018	up_033475	up_033739	up_111758	up_111587	up_111309	up_105982	up_105790	up_105476	up_105106	up_105048	up_103497	up_103288	up_102532	up_098879	up_098612	up_098442	up_098122	up_097919	up_097013	up_096878	up_096713	up_096603	up_096581	up_038751	up_037133	up_034179	up_032452	up_099138	up_095226	up_032649	up_105163	up_099455	up_106503	up_033143	up_097985	up_095660	up_037697	up_099969	up_034785	up_097428	up_098682	up_035944	up_102126	up_035648	up_105630	up_103573	up_038864	up_102672	up_038402	up_037246	up_037041	up_107202	up_105892	up_105932	up_102312	up_106405	up_101784	up_098214	up_038588	up_038966	up_102056	up_038912	up_100178	up_106348	up_099525	up_097767	up_097494	up_096174	up_096956	up_097370	up_096524	up_097583	up_096431	up_096117	up_097129	up_096060	up_095969	up_096280	up_095844	up_095787	up_095730	up_095537	up_034920	up_034851	up_034245	up_034094	up_034635	up_035170	up_032938	up_095480	up_035741	up_034037	up_035310	up_035855	up_035798	up_035526	up_035588	up_035386	up_033835	up_033572	up_033703	up_033935	up_033541	up_033376	up_033240	up_106940	up_014430	up_014522	up_014612	up_014752	up_014792	up_014918	up_014992	up_015077	up_015152	up_015218	up_015284	up_015449	up_015553	up_015660	up_015741	up_016045	up_016132	up_016308	up_016353	up_016647	up_024750	up_024252	up_023871	up_023700	up_023652	up_016555	up_032329	up_023389	up_024864	up_023446	up_024147	up_023233	up_023814	up_032235	up_024797	up_023179	up_023985	up_024034	up_024348	up_023057	up_024965	up_024916	up_024699	up_024306	up_024645	up_024603	up_024555	up_024200	up_024411	up_024096	up_023503	up_023934	up_023597	up_023550	up_023299	up_021294	up_032081	up_032027	up_015961	up_016999	up_032171	up_016915	up_015870	up_016386	up_016705	up_016803	up_016469	op_106939	op_105981	op_111586	op_111234	op_102125	op_105047	op_111757	op_114227	op_106502	op_111451	op_111168	op_107201	op_096373	op_100177	op_033015	op_033142	op_033472	op_033738	op_111308	op_106074	op_105789	op_105475	op_105105	op_103496	op_103287	op_102531	op_098878	op_098611	op_098441	op_098121	op_097918	op_097012	op_096877	op_096712	op_096602	op_096580	op_038750	op_037132	op_034178	op_032449	op_099137	op_095225	op_032648	op_105162	op_099454	op_106560	op_097984	op_095659	op_037696	op_099968	op_034784	op_097427	op_098681	op_035943	op_035647	op_099393	op_103572	op_038863	op_102671	op_038401	op_037245	op_037040	op_105891	op_105931	op_102311	op_106406	op_101783	op_098213	op_038587	op_038965	op_102055	op_038911	op_098747	op_106347	op_106993	op_099524	op_106710	op_097766	op_097493	op_096173	op_096955	op_097369	op_096523	op_097582	op_096430	op_096116	op_097128	op_096059	op_095968	op_096279	op_095843	op_095786	op_095729	op_095536	op_034919	op_034850	op_034244	op_034093	op_034634	op_035169	op_032937	op_095479	op_035740	op_034036	op_035309	op_035854	op_035797	op_035527	op_035587	op_035385	op_033832	op_033571	op_033700	op_033934	op_033538	op_033375	op_033237	op_016468	op_014427	op_014521	op_014603	op_014749	op_014791	op_014917	op_014989	op_015076	op_015149	op_015215	op_015281	op_015448	op_015550	op_015657	op_015738	op_016044	op_016131	op_016307	op_016352	op_016644	op_024749	op_024251	op_023870	op_023699	op_023651	op_016554	op_032328	op_023388	op_024863	op_023445	op_024146	op_023232	op_023813	op_032234	op_024796	op_021890	op_023178	op_023984	op_024033	op_024347	op_023056	op_024964	op_024915	op_024698	op_024305	op_024644	op_024602	op_024554	op_024199	op_024410	op_024095	op_023502	op_023933	op_023596	op_023549	op_023298	op_021140	op_021293	op_032080	op_032024	op_015958	op_016996	op_032168	op_016914	op_015869	op_016385	op_016704	op_016800
30693	0	4	0	3	0	0	5	3	0	0	1	2	0	1	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	1	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	3	11	0	0	1	4	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	1	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	4	1	0	0	0	0	16	2	0	1	0	2	0	0	0	0	1	0	0	0	3	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	10	5	0	4	1	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	12	9	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	5	4	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	2	0	0	0
30712	0	0	1	1	0	0	2	9	2	0	3	0	0	1	4	13	0	0	98	2	17	24	2	0	5	0	1	0	0	0	0	7	0	0	1	0	1	0	0	0	0	1	0	0	0	0	193	4	0	0	1	0	0	0	67	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	2	0	2	8	0	0	0	2	9	0	0	0	0	1	0	1	0	0	0	24	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	1	0	0	72	0	0	0	2	0	0	0	0	1	0	0	367	74	0	0	167	0	2	3	0	15	14	13	7	0	2	2	8	0	2	0	5	0	6	0	0	2	0	0	0	0	38	0	2	0	0	18	10	0	0	0	0	15	46	29	0	8	1	0	11	0	0	0	0	0	0	0	0	0	6	2	1	4	1	0	0	31	0	10	0	10	0	0	0	4	0	0	6	0	8	0	12	0	137	22	7	10	0	8	3	3	0	0	0	0	4	0	0	1	2	0	0	0	0	0	13	0	9	0	117	5	0	1	0	0	3	28	0	1	7	0	0	0	21	1	3	0	1	1	0	0	8	1	0	26	0	3	1	0	0	2	20	0	0	16	0	6	6	0	1	0	0	5	0	0	2	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	2	0	0	85	0	0	0	8	0	0	0	0	6	0	0	548	74	0	0	126	0	3	13	0	68	4	9	8	0	1	3	21	0	5	0	2	0	2	5	0	4	0	1	2	0	0	2	0	3	0	0	3	39	0	0	0	0	5	284	20	8	3	0	1	0	0	0	0	0	1	1	0	1	0	2	10
30713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30716	0	9	5	13	0	1	1	1	0	0	3	3	3	0	1	1	4	1	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	12	0	0	0	0	1	0	0	34	2	0	0	0	21	0	52	0	0	0	0	3	0	0	90	0	2	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	11	0	0	0	9	0	1	0	0	0	47	1	3	0	7	25	0	5	0	228	46	0	0	0	9	0	0	0	0	0	0	0	26	0	4	7	38	6	0	0	74	0	4	28	1	0	53	0	3	0	0	49	0	20	0	4	0	31	0	2	0	44	0	2	2	9	1	0	1	0	0	0	0	0	2	3	3	0	22	1	0	10	0	0	0	2	0	23	0	3	3	0	0	0	0	0	0	3	0	1	5	27	4	270	2	4	0	0	48	16	0	1	0	0	0	0	0	0	0	0	0	33	1	0	0	0	0	19	2	0	0	0	0	2	35	0	0	7	8	0	74	0	0	24	1	2	0	49	1	0	1	0	9	0	0	0	1	22	3	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	4	0	3	0	2	4	0	1	41	0	0	1	6	0	8	0	0	3	16	31	8	0	4	26	0	73	1	5	13	0	0	0	4	0	3	0	0	0	3	0	104	1	3	9	150	0	0	0	62	0	17	69	0	0	28	0	0	1	0	40	7	0	11	0	18	0	2	0	1	0	19	0	3	1	8	3	0	13	1	1	0	0	0	0	8	1	4	0	44	6	0	15	0
30719	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	4	2	1	0	0	0	1	1	0	2	0	0	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1	1	0	1	0	1	0	0	2	12	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	4	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	0	2	0	0	1	0	0	1	0	1	1	1	1	4	3	0	0	0	0	0	1	0	1	2	1	1	0	0	0	1	0	1	1	7	0	0	0	0	0	4	0	3	1	0	0	0	2	0	1	0	0	0	1	0	3	1	1	0	2	0	0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	5	7	0	2	0	0	0	0	0	0	0	0	0	1
30728	1	0	1	0	0	0	2	0	0	7	4	1	2	0	0	1	6	0	0	0	0	0	10	0	2	0	12	8	4	0	0	0	2	0	0	0	2	0	4	0	0	0	0	15	8	0	14	0	14	3	3	9	7	0	0	17	0	0	9	0	0	2	0	0	0	0	2	0	29	0	0	1	2	0	8	1	2	0	3	0	0	1	12	0	1	3	3	0	1	0	1	6	0	4	5	2	24	0	0	1	12	0	7	2	0	1	0	0	5	31	3	0	3	16	3	0	0	70	15	0	1	3	49	0	0	70	0	0	5	4	10	19	0	37	5	4	0	0	1	9	0	17	7	0	0	0	0	33	2	5	0	1	2	0	0	11	11	0	0	7	0	0	0	0	0	0	23	5	1	0	0	0	0	17	1	7	2	13	4	0	34	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	14	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	2	0	3	0	0	2	0	0	0	4	1	7	0	0	0	0	0	0	1	0	2	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	22	0	6	1	6	10	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0	0	7	0	3	0	7	30	0	2	0	8	0	0	31	0	0	0	17	7	0	0	18	4	19	0	2	1	0	0	8	5	0	0	16	0	2	0	0	0	0	0	0	0	1	14	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	11	3	0	6	0	10	0
30738	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	2	5	0	0	1	0	0	1	3	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30743	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30747	4	0	0	12	0	0	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	6	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	9	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30749	0	0	1	0	0	0	5	5	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	12	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	6	1	5	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	2	0	0	1	1	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	4	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	1	0	8	5	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	16	1	3	4	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	19	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
30753	0	0	0	1	0	2	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	32	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	8	0	0	0	0	4	1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30797	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	7	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	7	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	6	0	0	0	0	0	7	1	0	0	0	0	0	0	0	1	0	0	1	0	0	7	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30804	0	0	0	0	0	0	0	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	6	0	0	0	3	2	0	0	3	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	9	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	2	1	7	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	3	1	0	3	1	8	0	0	0	0	0	0	2	0	0	0	0	4	6	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	4	0	0	0	0	1
30807	7	0	1	1	19	2	0	0	0	136	3	5	0	0	3	6	0	1	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	4	0	0	2	0	6	1	0	0	0	0	0	0	0	7	5	1	0	0	0	0	0	3	1	0	2	0	0	1	6	0	4	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	3	0	4	1	0	2	0	0	0	6	2	0	0	2	0	0	2	12	9	5	0	4	0	0	0	1	0	0	0	3	4	0	0	1	1	12	6	0	0	1	2	0	0	0	0	1	2	7	0	0	1	0	1	5	0	0	0	10	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	1	0	1	0	0	9	0	4	0	5	3	2	4	0	2	0	3	3	7	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	2	0	1	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	3	4	0	0	0	0	0	1	11	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	4	0	0	0	0	0	0	0	3	1	0	0	0	0	1	5	0	1	1	0	0	0	3	25	3	0	9	0	0	0	48	3	3	0	1	1	0	0	1	0	0	0	15	0	0	1	0	0	9	7	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	7	0	0	3	0	0	1	0	2	0	1	0	0	1	0	0
30827	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30838	5	1	0	2	0	2	3	0	1	0	20	0	10	0	0	0	1	1	1	1	0	0	6	1	9	0	3	5	13	0	9	0	1	0	0	0	1	1	7	0	3	0	0	3	7	0	5	0	9	1	3	0	1	0	1	7	3	1	1	2	1	26	0	10	0	0	6	2	2	0	13	0	3	4	4	6	1	0	35	0	0	8	3	2	0	5	4	0	17	0	0	0	0	4	0	0	1	0	0	0	4	7	5	0	0	0	0	0	8	20	2	1	0	1	1	0	1	31	2	1	2	2	18	8	4	29	0	0	1	6	2	2	2	9	11	12	0	0	0	1	0	0	4	0	2	0	0	5	0	0	0	0	1	0	0	6	3	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	2	6	1	4	3	14	2	2	1	0	0	0	0	2	0	3	0	0	0	3	8	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	3	0	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	1	0	2	1	1	0	0	0	0	0	2	0	2	0	0	1	0	0	0	1	2	0	6	0	0	7	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	12	0	0	0	2	0	0	27	0	1	0	3	1	0	0	3	0	20	0	2	1	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	1	0	0
